"i_stop_id","i_pid_start","i_pid_end","geometry"
83,44666,44776,"01010000206A08000087024135E0FD2B41CDDF52A102A35841"
84,44894,44912,"01010000206A080000F4291B8B19EA2B41BC8C02DC79A25841"
85,44986,44997,"01010000206A08000002DEC087D1E42B4135A24B264BA25841"
86,45060,45060,"01010000206A080000C270ED3162E02B410CC847EE64A25841"
87,45092,45550,"01010000206A080000C047FC4195E12B41477609FC59A25841"
88,45617,45621,"01010000206A08000089E4776262E32B41CB182B6B99A25841"
89,45661,45726,"01010000206A080000CA465F855AE42B413A439D73D9A25841"
90,45980,45985,"01010000206A0800006447DE1BA4FE2B4192528CBDEFA25841"
91,46158,46257,"01010000206A080000CA04B6091B282C415C4A30355FA05841"
92,46458,46499,"01010000206A080000FABB71D1DEFD2B4193B0CFAE05A35841"
93,46553,47873,"01010000206A08000052B733D02C012C41CDFC1783E9A25841"
94,47887,47910,"01010000206A080000C1305E5087012C41E65838C2FDA25841"
95,47969,48325,"01010000206A0800005CDF1A8FBB002C41931C653631A35841"
96,48421,48500,"01010000206A0800002AED70D9B1FD2B4158FE6D2C07A35841"
97,48518,49595,"01010000206A080000765335B5CEFA2B4170EAEBA0E4A25841"
98,49780,51023,"01010000206A0800000874265D30282C414AF2AD2A5EA05841"
99,51469,51746,"01010000009A99999957FC2B410000004035A35841"
100,52091,52175,"01010000003333333302F02B41000000400CA45841"
101,53178,53431,"010100000066666666FDE62B410000000018A45841"
102,53553,53675,"010100000066666666C9E52B41000000400BA45841"
103,54017,54340,"01010000009A99999945E42B41000000400AA45841"
104,54687,54920,"010100000066666666DEE42B410000008073A45841"
105,55084,55296,"01010000000000000044E42B41000000C075A45841"
106,55469,55825,"010100000000000000A6E42B4100000000CFA45841"
107,55904,56108,"01010000006666666634E52B410000000005A55841"
108,56284,56393,"01010000006666666649E62B410000008044A55841"
109,56945,57043,"0101000000CDCCCCCC31E92B4100000080C5A55841"
110,57189,57465,"01010000006666666672E72B4100000000B0A55841"
111,57676,58086,"010100000066666666A6E82B4100000080F3A55841"
112,58670,58788,"010100000000000000D8E82B4100000000B0A55841"
113,59150,59239,"0101000000666666664AE62B41000000C045A55841"
114,59383,59558,"0101000000666666663BE52B410000000006A55841"
115,59695,59798,"010100000066666666A8E42B4100000080CEA45841"
116,60020,60261,"0101000000666666663DE42B410000004075A45841"
117,60304,60391,"01010000009A99999904E52B41000000808AA45841"
118,60435,60613,"01010000009A99999903E52B410000000072A45841"
119,61006,61095,"010100000000000000D2E42B410000000006A45841"
120,61378,61466,"0101000000CDCCCCCCF3E52B41000000000BA45841"
121,62407,62496,"01010000000000000022EE2B41000000801BA45841"
122,63353,63538,"010100000066666666FAF52B4100000000A0A35841"
123,64911,65042,"010100000066666666C3022C4100000000B3A25841"
124,65077,65166,"01010000009A99999992022C4100000000BEA25841"
125,65757,65942,"0101000000CDCCCCCCECE82B41000000C039A25841"
